index,mean,std,5%,50%,95%,pid
temp,1.2933549357056617,1.8943614752805302,-2.58792929649353,1.549737811088562,3.9336955904960633,9mtm11512b06xrfcy6s54w3p
lapse,0.49259279502928255,0.7053942427601827,-0.7592412889003753,0.5825817584991455,1.6772075474262236,9mtm11512b06xrfcy6s54w3p
aligned_weight,0.7031705937609076,0.574984731629885,-0.1988612473011017,0.6965371370315552,1.731639248132705,9mtm11512b06xrfcy6s54w3p
orthogonal_weight,0.5172945193946361,0.42634317511078657,-0.2556366354227066,0.5842074751853943,0.991436696052551,9mtm11512b06xrfcy6s54w3p
horizon,1.4757031660079956,1.4600180111057335,-0.9381658911705016,1.440565049648285,4.277679491043089,9mtm11512b06xrfcy6s54w3p
n_samples,500.0,0.0,500.0,500.0,500.0,9mtm11512b06xrfcy6s54w3p
exploration_constant,3.0,0.0,3.0,3.0,3.0,9mtm11512b06xrfcy6s54w3p
discount_factor,0.9000000000000002,2.221557105636704e-16,0.9,0.9,0.9,9mtm11512b06xrfcy6s54w3p
temp,1.3813554427921773,2.0452929014766177,-2.683203601837158,1.5965303778648376,4.682459282875061,heqzzzvhpyib285strlawh84
lapse,0.4544105330705643,0.7487867860985129,-0.9572728663682938,0.5711957216262817,1.6626762032508848,heqzzzvhpyib285strlawh84
aligned_weight,0.6784539393410086,0.5796752612583373,-0.3049658894538879,0.6897301971912384,1.652301490306854,heqzzzvhpyib285strlawh84
orthogonal_weight,0.5520347459316254,0.4381312517296772,-0.26108484864234915,0.6147494614124298,1.098694938421249,heqzzzvhpyib285strlawh84
horizon,1.3942799354791642,1.4232250923603587,-1.065002405643463,1.3903034925460815,3.880498898029327,heqzzzvhpyib285strlawh84
n_samples,500.0,0.0,500.0,500.0,500.0,heqzzzvhpyib285strlawh84
exploration_constant,3.0,0.0,3.0,3.0,3.0,heqzzzvhpyib285strlawh84
discount_factor,0.9000000000000002,2.221557105636704e-16,0.9,0.9,0.9,heqzzzvhpyib285strlawh84
temp,1.3077863940298557,2.1177603496661184,-3.1485761165618897,1.5766157507896423,4.44574933052063,hwu78zquqn330nxx1risacut
lapse,0.5071741442233324,0.7063309105937313,-0.8244477868080139,0.5948940813541412,1.6838848888874052,hwu78zquqn330nxx1risacut
aligned_weight,0.6984218280389904,0.5923682058642119,-0.2858020544052124,0.6956506967544556,1.757334768772125,hwu78zquqn330nxx1risacut
orthogonal_weight,0.545433326125145,0.4264647664238136,-0.2393748253583908,0.6041894257068634,1.065456473827362,hwu78zquqn330nxx1risacut
horizon,1.3510851401090622,1.3512299551642077,-1.0976270318031311,1.3600825071334839,3.826894283294676,hwu78zquqn330nxx1risacut
n_samples,500.0,0.0,500.0,500.0,500.0,hwu78zquqn330nxx1risacut
exploration_constant,3.0,0.0,3.0,3.0,3.0,hwu78zquqn330nxx1risacut
discount_factor,0.9000000000000002,2.221557105636704e-16,0.9,0.9,0.9,hwu78zquqn330nxx1risacut
temp,1.3691192578673363,1.9732456495016404,-2.685582673549652,1.5999335646629333,4.546164298057556,yfovss2cabqv6ffkcn5vslgf
lapse,0.49695082945376634,0.7114674033844136,-0.8538713872432708,0.5930314660072327,1.636883383989334,yfovss2cabqv6ffkcn5vslgf
aligned_weight,0.6887984618842602,0.6053547445588705,-0.2024252951145172,0.695085883140564,1.6618587017059323,yfovss2cabqv6ffkcn5vslgf
orthogonal_weight,0.555906480550766,0.4732812938795919,-0.2919126242399216,0.6123652160167694,1.1257422327995281,yfovss2cabqv6ffkcn5vslgf
horizon,1.3326015923023224,1.4070959462219352,-1.0328282117843628,1.3402257561683655,3.8666461825370786,yfovss2cabqv6ffkcn5vslgf
n_samples,500.0,0.0,500.0,500.0,500.0,yfovss2cabqv6ffkcn5vslgf
exploration_constant,3.0,0.0,3.0,3.0,3.0,yfovss2cabqv6ffkcn5vslgf
discount_factor,0.9000000000000002,2.221557105636704e-16,0.9,0.9,0.9,yfovss2cabqv6ffkcn5vslgf
temp,1.299603522002697,1.9382080241385877,-2.7587158918380736,1.623965084552765,4.016749000549316,impmu2jhk82l8arflpz8piqg
lapse,0.49595576026290655,0.7380341892326907,-0.8999352991580963,0.6092913150787354,1.6715110898017878,impmu2jhk82l8arflpz8piqg
aligned_weight,0.6944738765321672,0.558937133348634,-0.21211527585983272,0.6940503716468811,1.5743272542953488,impmu2jhk82l8arflpz8piqg
orthogonal_weight,0.5448992849886417,0.4358835010309384,-0.2067285358905792,0.5991779863834381,1.033179020881653,impmu2jhk82l8arflpz8piqg
horizon,1.4424058405160904,1.4724485518420543,-1.132171106338501,1.407486617565155,4.137617540359494,impmu2jhk82l8arflpz8piqg
